name,rating,genres,avg_user_rating,movieId
ad-astra-2019,★★★,"Drama, Science Fiction",3.4,204352.0
it-chapter-two,★★★,"Horror, Thriller",2.9,204542.0
spider-man-far-from-home,★★★½,"Adventure, Science Fiction, Action",3.4,201773.0
midsommar,★★★★,"Mystery, Drama, Horror",3.8,201646.0
once-upon-a-time-in-hollywood,★★★½,"Drama, Thriller, Comedy",3.8,202429.0
parasite-2019,★★★★★,"Comedy, Thriller, Drama",4.5,202439.0
portrait-of-a-lady-on-fire,★★★★½,"History, Drama, Romance",4.4,202749.0
chernobyl,★★★★★,Drama,4.6,
avengers-endgame,★★★★,"Science Fiction, Action, Adventure",3.9,122914.0
quicksand-2019,★★★,"Drama, Crime",3.6,
our-planet,★★★★½,Documentary,4.5,
the-peanut-butter-falcon,★★★★,"Drama, Adventure, Comedy",3.8,203322.0
us-2019,★★★½,"Horror, Thriller, Mystery",3.7,197711.0
captain-marvel,★★½,"Science Fiction, Action, Adventure",2.7,122910.0
the-great-hack,★★★,Documentary,3.3,229671.0
apollo-11-2019,★★★½,"Drama, History, Documentary",4.1,197879.0
fyre-2019,★★★,Documentary,3.3,197691.0
the-cabin-2018,★★,"Thriller, Horror",2.4,196733.0
spider-man-into-the-spider-verse,★★★★★,"Adventure, Animation, Science Fiction, Action",4.4,195159.0
bird-box,★★,"Thriller, Drama, Horror",2.9,194951.0
bohemian-rhapsody,★★★,"Drama, Music",3.5,192803.0
venom-2018,★★,"Science Fiction, Action",2.9,192389.0
free-solo,★★★★,"Adventure, Documentary",4.1,193950.0
the-favourite,★★★★,"Thriller, Drama, Comedy, History",4.0,183837.0
the-package-2018,★★½,Comedy,2.2,190945.0
jurassic-world-fallen-kingdom,★★,"Action, Adventure, Science Fiction, Thriller",2.6,187031.0
deadpool-2,★★★½,"Genre Films, Action, Comedy, Adventure",3.5,187593.0
blackkklansman,★★★★,"Drama, Comedy, History, Crime",3.9,189713.0
evil-genius,★★★★,"Documentary, Crime",3.6,188625.0
arctic-2018,★★★,"Drama, Adventure",3.5,197207.0
solo-a-star-wars-story,★★½,"Science Fiction, Adventure, Action",2.9,187595.0
behind-the-curve,★★★,Documentary,3.3,195001.0
