name,rating,genres,avg_user_rating,movieId
lilo-stitch,★★★★,"Comedy, Animation, Family",4.0,5444.0
scooby-doo,★★½,"Comedy, Adventure, Mystery",3.3,5419.0
the-bourne-identity-2002,★★★½,"Drama, Action, Mystery, Thriller",3.7,5418.0
star-wars-episode-ii-attack-of-the-clones,★★,"Action, Science Fiction, Adventure",2.9,5378.0
spider-man,★★★½,"Science Fiction, Action",3.8,5349.0
ice-age,★★★★,"Comedy, Adventure, Family, Animation",3.6,5218.0
the-lord-of-the-rings-the-fellowship-of-the-ring,★★★★½,"Fantasy, Adventure, Action",4.4,4993.0
harry-potter-and-the-philosophers-stone,★★★½,"Adventure, Fantasy",3.8,4896.0
monsters-inc,★★★½,"Comedy, Animation, Family",4.1,4886.0
the-blue-planet,★★★★½,Documentary,4.4,142115.0
american-pie-2,★★★,"Romance, Comedy",2.9,4718.0
jurassic-park-iii,★★★,"Action, Thriller, Adventure, Science Fiction",2.8,4638.0
atlantis-the-lost-empire,★★★½,"Family, Animation, Adventure, Science Fiction",3.7,4366.0
amelie,★★★★,"Romance, Comedy",4.2,4973.0
shrek,★★★★,"Adventure, Fantasy, Family, Animation, Comedy",4.1,4306.0
spy-kids,★★★,"Family, Adventure, Comedy, Science Fiction, Action",3.0,4232.0
almost-famous,★★★★,"Drama, Music",4.1,3897.0
memento,★★★★,"Mystery, Thriller",4.2,4226.0
together-2000,★★★★,"Comedy, Drama, Romance",3.9,4741.0
x-men,★★★,"Science Fiction, Action, Adventure",3.3,3793.0
scary-movie-2000,★★★,Comedy,3.1,3785.0
chicken-run,★★★★,"Animation, Family, Comedy",3.6,3751.0
dinosaur,★★½,"Adventure, Animation, Family",2.9,3615.0
gladiator-2000,★★★★,"Action, Adventure, Drama",4.1,3578.0
american-psycho,★★★★½,"Crime, Thriller, Horror, Drama",3.8,3535.0
stuart-little,★★★,"Comedy, Adventure, Fantasy, Family",2.9,3157.0
the-green-mile,★★★★,"Drama, Crime, Fantasy",4.2,3147.0
toy-story-2,★★★★,"Family, Animation, Comedy",3.9,3114.0
walking-with-dinosaurs,★★★★,"Documentary, Animation",4.2,
fight-club,★★★★,Drama,4.3,2959.0
american-pie,★★★,"Romance, Comedy",3.1,2706.0
tarzan,★★★½,"Drama, Family, Adventure, Animation",3.7,2687.0
austin-powers-the-spy-who-shagged-me,★★★,"Comedy, Science Fiction, Crime, Adventure",3.3,2683.0
star-wars-episode-i-the-phantom-menace,★★★,"Action, Science Fiction, Adventure",3.0,2628.0
the-matrix,★★★★,"Science Fiction, Action",4.2,2571.0
show-me-love,★★★½,"Drama, Comedy, Romance",3.8,7034.0
american-history-x,★★★★,Drama,4.1,2329.0
the-truman-show,★★★★,"Comedy, Drama",4.2,1682.0
the-big-lebowski,★★★½,"Crime, Comedy",4.1,1732.0
good-will-hunting,★★★★½,Drama,4.3,1704.0
titanic-1997,★★★½,"Drama, Romance",3.8,1721.0
men-in-black,★★★½,"Comedy, Action, Science Fiction, Adventure",3.7,1580.0
the-lost-world-jurassic-park,★★★,"Science Fiction, Action, Adventure",3.1,1544.0
the-fifth-element,★★★★,"Action, Science Fiction, Adventure",3.8,1527.0
independence-day,★★★½,"Adventure, Action, Science Fiction",3.3,780.0
mission-impossible,★★★,"Action, Thriller, Adventure",3.6,648.0
trainspotting,★★★★,"Drama, Crime",4.2,778.0
heat-1995,★★★★,"Crime, Action, Drama",4.3,6.0
toy-story,★★★★,"Comedy, Animation, Family, Adventure",4.1,1.0
se7en,★★★★½,"Crime, Mystery, Thriller",4.3,47.0
clueless,★★★,"Comedy, Romance",3.7,39.0
bad-boys-1995,★★★,"Comedy, Action, Thriller, Crime",3.2,145.0
dumb-and-dumber,★★★,Comedy,3.4,231.0
the-shawshank-redemption,★★★★★,"Crime, Drama",4.6,318.0
forrest-gump,★★★★½,"Drama, Comedy, Romance",4.1,356.0
the-lion-king,★★★★,"Animation, Family, Drama",4.2,364.0
pulp-fiction,★★★★½,"Crime, Thriller",4.3,296.0
ace-ventura-pet-detective,★★½,"Crime, Comedy, Mystery, Adventure",3.2,344.0
schindlers-list,★★★★½,"History, Drama, War",4.5,527.0
jurassic-park,★★★★,"Science Fiction, Adventure",4.1,480.0
alien-3,★★½,"Horror, Science Fiction, Action",2.8,1320.0
the-silence-of-the-lambs,★★★★½,"Horror, Crime, Thriller, Drama",4.3,593.0
home-alone,★★★½,"Family, Comedy",3.8,586.0
back-to-the-future-part-ii,★★★½,"Comedy, Science Fiction, Adventure",3.9,2011.0
dead-poets-society,★★★★,Drama,4.3,1246.0
indiana-jones-and-the-last-crusade,★★★½,"Adventure, Action",4.1,1291.0
rain-man,★★★½,Drama,3.9,1961.0
cinema-paradiso,★★★½,"Drama, Romance",4.5,1172.0
die-hard,★★★½,"Thriller, Action",4.1,1036.0
my-neighbor-totoro,★★★½,"Fantasy, Animation, Family",4.2,5971.0
the-princess-bride,★★★★½,"Adventure, Romance, Fantasy, Family, Comedy",4.1,1197.0
aliens,★★★★,"Science Fiction, Horror, Thriller, Action",4.1,1200.0
rocky-iv-rocky-vs-drago-the-ultimate-directors,★★★,Drama,3.7,2411.0
come-and-see,★★★★★,"War, Drama",4.6,6818.0
back-to-the-future,★★★½,"Comedy, Science Fiction, Adventure",4.2,1270.0
return-of-the-jedi,★★★★,"Action, Science Fiction, Adventure",4.1,1210.0
first-blood,★★★½,"War, Action, Adventure, Thriller",3.8,2403.0
et-the-extra-terrestrial,★★★½,"Science Fiction, Fantasy, Adventure, Family",3.8,1097.0
raiders-of-the-lost-ark,★★★★,"Adventure, Action",4.2,1198.0
the-shining,★★★½,"Horror, Thriller",4.2,1258.0
the-empire-strikes-back,★★★★½,"Action, Science Fiction, Adventure",4.4,1196.0
alien,★★★★½,"Horror, Science Fiction",4.3,1214.0
grease,★★★,"Comedy, Romance",3.5,1380.0
star-wars,★★★★,"Adventure, Action, Science Fiction",4.2,260.0
rocky,★★★,Drama,4.1,1954.0
the-exorcist,★★★★,Horror,4.0,1997.0
2001-a-space-odyssey,★★★½,"Adventure, Mystery, Science Fiction",4.3,924.0
