Date,Name,Year,Letterboxd URI,Rating
2023-09-22,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2023-09-27,Wreck-It Ralph,2012,https://boxd.it/2TTS,3.5
2023-09-29,Past Lives,2023,https://boxd.it/oNB8,4.5
2023-09-30,Oppenheimer,2023,https://boxd.it/wUow,4.5
2023-10-05,About Time,2013,https://boxd.it/43bI,4
2023-10-05,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,4
2023-10-11,Jurassic Park,1993,https://boxd.it/2aA2,5
2023-10-27,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4.5
2023-11-02,Five Nights at Freddy's,2023,https://boxd.it/ikHu,2
2023-11-09,The Adventures of Tintin,2011,https://boxd.it/1Irc,4
2023-11-18,A Hard Day's Night,1964,https://boxd.it/29LS,3.5
2023-11-23,Napoleon,2023,https://boxd.it/shJM,3
2023-11-24,Meet Me in the Bathroom,2022,https://boxd.it/yoNI,3
2023-11-29,Brick,2005,https://boxd.it/1Z6A,3
2023-12-03,The Muppet Christmas Carol,1992,https://boxd.it/1WgC,5
2023-12-04,The Hunger Games,2012,https://boxd.it/2uds,3
2023-12-05,The Boy and the Heron,2023,https://boxd.it/ipeM,3.5
2023-12-08,Home Alone,1990,https://boxd.it/29Fg,4.5
2023-12-12,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,4
2023-12-16,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6,3
2024-01-02,Spirited Away,2001,https://boxd.it/2b4m,4
2024-01-25,The 5th Wave,2016,https://boxd.it/9wbi,1
2024-01-30,Poor Things,2023,https://boxd.it/tNWU,2.5
2024-02-10,The Holdovers,2023,https://boxd.it/vHza,4.5
2024-02-13,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,4.5
2024-02-14,The Old Oak,2023,https://boxd.it/AEng,3.5
2024-02-24,Dune,2021,https://boxd.it/fA7G,4
2024-02-26,The Incredibles,2004,https://boxd.it/1XLm,4
2024-03-03,Self-Portrait,1969,https://boxd.it/mGXC,5
2024-03-07,Dune: Part Two,2024,https://boxd.it/pUfA,4
2024-03-11,Mission: Impossible,1996,https://boxd.it/29d2,3.5
2024-03-25,The Simpsons Movie,2007,https://boxd.it/6YU,3.5
2024-03-25,Mission: Impossible III,2006,https://boxd.it/29cI,3
2024-03-28,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/psI,4
2024-04-22,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,5
2024-04-24,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4
2024-05-04,Challengers,2024,https://boxd.it/zld0,4
2024-05-08,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,3
2024-05-10,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ,4
2024-05-11,War for the Planet of the Apes,2017,https://boxd.it/8FE2,4.5
2024-05-12,Planet of the Apes,1968,https://boxd.it/29p8,3
2024-05-15,Ice Age: Dawn of the Dinosaurs,2009,https://boxd.it/20iC,1.5
2024-05-16,Ordinary World,2016,https://boxd.it/dEys,2
2024-05-18,Kingdom of the Planet of the Apes,2024,https://boxd.it/ohEE,3.5
2024-05-24,Let It Be,1970,https://boxd.it/1Dhw,3.5
2024-05-27,The Beach Boys,2024,https://boxd.it/MdrE,2.5
