Date,Name,Year,Letterboxd URI,Rating
2024-09-27,Uglies,2024,https://boxd.it/sUKu,1
2024-10-07,It Ends with Us,2024,https://boxd.it/ENjg,3
2024-10-31,Don't Move,2024,https://boxd.it/EfWy,2.5
2024-11-06,We Live in Time,2024,https://boxd.it/FC5u,4
2024-11-17,Sweet Home Alabama,2002,https://boxd.it/1TDo,2.5
2024-11-17,Let Go,2024,https://boxd.it/K61K,3
2024-11-18,Stepmom,1998,https://boxd.it/1YFO,3
2024-11-25,Gerald's Game,2017,https://boxd.it/buKa,2.5
2024-11-25,The Hypnotist,2012,https://boxd.it/4k3w,3
2024-11-29,Wicked,2024,https://boxd.it/e8ME,3
2024-12-07,Lucy,2014,https://boxd.it/75hu,2.5
2024-12-07,Harriet,2019,https://boxd.it/ijo2,3.5
2024-12-14,A Nonsense Christmas with Sabrina Carpenter,2024,https://boxd.it/QkR8,3
2024-12-18,Gilmore Girls: A Year in the Life,2016,https://boxd.it/f9og,3
2024-12-20,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2024-12-21,Carry-On,2024,https://boxd.it/C0B2,2
2024-12-25,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,3.5
2024-12-26,Beck 51 - Vilhelm,2024,https://boxd.it/LaBO,3
2024-12-26,Sleeping with the Enemy,1991,https://boxd.it/20Xq,3
2024-12-27,The Back-Up Plan,2010,https://boxd.it/1ddS,2.5
2024-12-28,Basic Instinct,1992,https://boxd.it/2asM,3.5
2025-01-02,Summer Times,2024,https://boxd.it/Hu0K,3.5
2025-01-07,The Prestige,2006,https://boxd.it/293w,3.5
2025-01-18,The Sixth Sense,1999,https://boxd.it/29Js,4
2025-01-23,Joy,2024,https://boxd.it/IUU2,3
2025-01-25,Trust,2021,https://boxd.it/tUwu,0.5
2025-01-25,Chloe,2009,https://boxd.it/1pZk,2.5
2025-02-01,Babygirl,2024,https://boxd.it/Fvai,2
2025-02-01,Coyote Ugly,2000,https://boxd.it/21PW,3
2025-02-02,Because I Said So,2007,https://boxd.it/28ZE,3
2025-02-02,She's All That,1999,https://boxd.it/1Wz0,1.5
2025-03-10,Picture This,2025,https://boxd.it/JINg,1
2025-03-10,Nickel Boys,2024,https://boxd.it/CStQ,4
2025-03-15,Nova & Alice,2024,https://boxd.it/MKQi,1.5
2025-03-26,Daisy Jones & the Six,2023,https://boxd.it/FmyA,4
